DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C,Region,Ville,météo très défavorable,météo défavorable,météo favorable,météo correcte,météo idéale,Region_num
2020-01-01,5,0,10,0,3,2,0.0,83,10.0,1032,14.125,5,2,-3,116,116,116,0.0,2,8.5,météo très défavorable,17:00:00,08:49:00,0,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-02,8,2,15,4,7,7,0.0,97,5.0,1029,77.875,8,7,2,248,143,116,0.0,2,5.0,météo très défavorable,17:01:00,08:49:00,4,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-03,10,6,25,10,10,8,0.8,89,10.0,1031,87.0,10,8,6,176,353,353,0.0,2,3.2,météo défavorable,17:02:00,08:49:00,10,Hauts-de-France,Amiens,0,1,0,0,0,0
2020-01-04,8,3,18,3,7,6,0.4,91,10.0,1036,44.75,8,5,0,116,116,176,0.0,3,6.9,météo très défavorable,17:03:00,08:48:00,3,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-05,8,4,7,5,7,6,0.1,88,10.0,1036,70.75,8,5,4,116,119,119,0.0,2,3.2,météo très défavorable,17:04:00,08:48:00,4,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-06,6,0,18,2,5,4,0.0,93,10.0,1033,24.75,6,3,-2,113,116,113,0.0,1,8.6,météo très défavorable,17:05:00,08:48:00,3,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-07,8,2,12,4,7,6,0.0,93,10.0,1029,35.75,8,6,2,116,116,116,0.0,2,8.6,météo très défavorable,17:06:00,08:48:00,6,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-08,13,8,16,11,13,12,0.3,96,9.375,1024,95.75,13,11,9,122,119,122,0.0,3,3.2,météo défavorable,17:08:00,08:47:00,11,Hauts-de-France,Amiens,0,1,0,0,0,0
2020-01-09,12,11,29,11,12,12,5.4,92,9.5,1022,99.0,12,11,9,122,296,296,0.0,3,3.2,météo défavorable,17:09:00,08:47:00,11,Hauts-de-France,Amiens,0,1,0,0,0,0
2020-01-10,8,3,22,8,8,5,1.7,87,8.375,1031,62.0,8,6,4,263,176,116,0.0,2,5.1,météo très défavorable,17:10:00,08:46:00,8,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-11,6,2,17,2,5,4,0.0,93,10.0,1033,41.625,6,3,-1,116,116,122,0.0,2,5.1,météo très défavorable,17:12:00,08:46:00,2,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-12,10,3,26,4,8,7,0.2,94,10.0,1027,64.5,10,7,0,116,122,176,0.0,3,3.3,météo très défavorable,17:13:00,08:45:00,3,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-13,9,5,29,5,7,9,1.2,93,8.0,1023,77.125,9,7,2,176,176,266,0.0,2,3.3,météo très défavorable,17:14:00,08:45:00,6,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-14,10,5,41,10,10,9,6.0,90,9.625,1006,100.0,11,9,6,296,296,176,0.0,2,3.3,météo très défavorable,17:16:00,08:44:00,10,Hauts-de-France,Amiens,1,0,0,0,0,0
2020-01-15,9,5,36,8,9,7,2.1,83,9.75,1018,67.5,10,7,4,116,176,296,0.0,2,5.1,météo défavorable,17:17:00,08:43:00,9,Hauts-de-France,Amiens,0,1,0,0,0,0
2020-01-16,10,3,25,3,8,9,0.0,94,10.0,1023,22.25,10,6,0,116,119,116,0.0,3,8.7,météo très défavorable,17:19:00,08:43:00,4,Hauts-de-France,Amiens,1,0,0,0,0,0
