DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2020-01-01,8,2,9,3,7,7,0,95,5.375,1032,62.375,8,6,1,143,143,122,0,3,3.3,météo très défavorable,17:13:00,08:43:00,2
2020-01-02,9,7,10,7,8,8,1.4,96,7.625,1029,82.125,9,7,5,248,122,176,0,2,5.1,météo défavorable,17:14:00,08:43:00,7
2020-01-03,12,7,23,9,11,10,1.5,94,9,1032,86.25,12,9,5,122,266,353,0,3,3.3,météo défavorable,17:15:00,08:43:00,7
2020-01-04,8,4,9,4,6,6,0.3,89,9.875,1038,23,8,5,1,116,116,116,0,2,8.7,météo très défavorable,17:16:00,08:43:00,4
2020-01-05,9,4,9,6,8,6,0,84,10,1038,49.25,9,4,5,122,119,116,0,3,6.9,météo défavorable,17:18:00,08:42:00,5
2020-01-06,7,1,16,1,5,5,0,93,9,1032,17,7,3,-2,143,116,113,0,2,8.7,météo très défavorable,17:19:00,08:42:00,2
2020-01-07,10,4,10,7,9,10,0,97,5.75,1030,92.875,10,9,5,119,248,122,0,2,3.3,météo défavorable,17:20:00,08:42:00,7
2020-01-08,12,8,17,11,11,12,0.4,96,9,1028,100,12,11,8,266,122,122,0,3,3.3,météo défavorable,17:21:00,08:42:00,10
2020-01-09,12,10,30,10,12,11,6.2,93,6.5,1025,93,12,10,8,266,266,122,0,3,3.3,météo défavorable,17:22:00,08:41:00,10
2020-01-10,9,5,24,7,8,7,1,86,9.625,1032,62.25,9,5,3,176,116,119,0,2,5.1,météo défavorable,17:23:00,08:41:00,9
2020-01-11,8,3,7,3,6,6,0,91,10,1033,30.5,8,3,2,116,116,116,0,3,8.7,météo très défavorable,17:25:00,08:41:00,4
2020-01-12,7,2,21,2,6,7,0,90,10,1030,69.625,7,5,-1,116,116,122,0,2,5.1,météo très défavorable,17:26:00,08:40:00,3
2020-01-13,9,6,24,7,8,9,1.5,95,6.75,1026,87.875,9,6,4,176,176,263,0,2,3.3,météo défavorable,17:27:00,08:40:00,6
2020-01-14,9,3,34,8,9,7,0.9,70,7,1012,89.75,10,3,4,122,266,176,0,2,3.3,météo défavorable,17:29:00,08:39:00,8
2020-01-15,10,7,33,8,10,9,0.1,77,10,1020,49.5,10,6,4,116,116,176,0,2,5.1,météo défavorable,17:30:00,08:38:00,8
2020-01-16,13,5,19,5,10,11,0,93,9,1025,30.875,13,7,3,143,122,116,0,2,6.9,météo correcte,17:31:00,08:38:00,6
2020-01-17,10,5,27,9,10,7,10.3,91,9.25,1027,67.25,10,8,6,296,296,353,0,3,3.4,météo défavorable,17:33:00,08:37:00,10
2020-01-18,7,3,14,3,6,5,0.1,89,10,1031,38.5,7,3,-1,116,122,116,0,1,6.9,météo très défavorable,17:34:00,08:36:00,4
2020-01-19,6,1,27,1,5,4,0.2,89,10,1040,46.5,6,1,-3,116,116,176,0,2,5.2,météo très défavorable,17:36:00,08:35:00,2
2020-01-20,6,1,28,1,4,4,0,80,10,1043,1.75,6,0,-4,113,113,113,0,2,8.7,météo très défavorable,17:37:00,08:35:00,2
2020-01-21,5,-1,16,-1,3,3,0,95,10,1041,19.125,5,0,-6,116,116,116,0,2,8.7,météo très défavorable,17:38:00,08:34:00,0
2020-01-22,5,-1,18,-1,3,3,0,89,10,1038,14.625,5,0,-5,116,116,116,0,2,8.7,météo très défavorable,17:40:00,08:33:00,-1
2020-01-23,6,0,21,0,4,4,0,74,10,1031,44.375,6,0,-5,116,122,116,0,2,3.4,météo très défavorable,17:41:00,08:32:00,0
2020-01-24,10,2,8,4,9,8,0,92,10,1024,24.125,10,7,2,119,116,116,0,3,8.7,météo très défavorable,17:43:00,08:31:00,3
2020-01-25,11,4,10,4,9,9,0,93,10,1022,29,11,7,3,116,116,116,0,3,8.7,météo très défavorable,17:44:00,08:30:00,5
2020-01-26,11,4,18,6,10,9,0.4,93,10,1017,87.625,11,7,4,122,119,353,0,3,3.4,météo défavorable,17:46:00,08:29:00,6
2020-01-27,9,7,31,8,9,9,12.1,87,8.875,1016,96.5,9,7,4,296,296,353,0,2,3.4,météo défavorable,17:47:00,08:28:00,9
2020-01-28,7,5,35,6,6,6,4.4,77,9.5,1011,71.5,7,6,0,353,176,353,0,2,5.2,météo très défavorable,17:49:00,08:27:00,7
