DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-01-01,14,8,13,8,12,11,0,84,10,1027,53.625,14,7,6,122,116,113,0,4,5.1,météo correcte,17:12:00,08:36:00,9
2022-01-02,14,8,22,9,12,13,0,78,10,1026,49.5,14,11,8,116,116,119,0,4,8.7,météo correcte,17:13:00,08:36:00,9
2022-01-03,12,11,19,11,12,12,0,89,10,1025,88.375,12,10,9,122,122,119,0,3,3.3,météo défavorable,17:14:00,08:36:00,11
2022-01-04,16,5,46,13,15,8,0.3,66,9,1015,61.375,16,9,10,176,113,122,0,3,8.7,météo correcte,17:15:00,08:36:00,12
2022-01-05,7,1,24,3,4,3,0.7,80,9.625,1023,66.125,7,5,-3,371,116,122,0.2,1,6.9,météo très défavorable,17:16:00,08:36:00,6
2022-01-06,6,0,6,0,4,2,0,92,10,1025,54,6,0,-2,122,119,113,0,2,5.1,météo très défavorable,17:17:00,08:36:00,0
2022-01-07,8,1,21,2,5,6,1.6,95,7,1026,90,8,4,-2,266,176,176,0,2,3.3,météo très défavorable,17:18:00,08:36:00,1
2022-01-08,10,6,31,6,8,9,1.9,94,8.875,1021,100,10,7,2,176,122,353,0,2,3.3,météo défavorable,17:19:00,08:35:00,6
2022-01-09,7,4,21,4,6,6,0.8,84,9.875,1018,89.375,7,4,0,119,122,176,0,2,3.3,météo très défavorable,17:20:00,08:35:00,5
2022-01-10,8,5,10,5,7,6,0.9,96,8,1024,91.75,8,6,3,143,122,122,0,2,3.3,météo très défavorable,17:22:00,08:35:00,7
2022-01-11,7,0,13,0,5,3,0,89,10,1035,15.5,7,0,-3,116,113,116,0,2,8.7,météo très défavorable,17:23:00,08:34:00,0
2022-01-12,7,-1,17,-1,6,3,0,90,10,1038,4.25,7,0,-4,113,113,113,0,2,8.7,météo très défavorable,17:24:00,08:34:00,0
2022-01-13,8,-1,14,-1,6,4,0,85,10,1037,0,8,0,-5,113,113,113,0,2,8.7,météo très défavorable,17:25:00,08:33:00,-1
2022-01-14,7,-1,9,-1,7,4,0,75,10,1037,0.25,7,0,-4,113,113,113,0,2,8.7,météo très défavorable,17:27:00,08:33:00,-1
2022-01-15,7,0,7,0,5,4,0,67,10,1031,40.25,7,0,-1,113,122,113,0,2,3.4,météo très défavorable,17:28:00,08:32:00,0
2022-01-16,7,-1,7,-1,6,3,0,85,10,1035,1.75,7,1,-4,113,113,113,0,2,8.7,météo très défavorable,17:30:00,08:31:00,-1
2022-01-17,8,2,6,2,5,6,0,95,8,1038,64.75,8,5,2,143,116,119,0,1,6.9,météo très défavorable,17:31:00,08:31:00,3
2022-01-18,9,1,21,1,8,6,0,94,9,1037,16.875,9,4,-3,113,113,113,0,2,8.7,météo très défavorable,17:32:00,08:30:00,2
2022-01-19,5,0,17,0,5,4,0,95,8,1032,51.75,5,2,-3,143,122,116,0,2,3.4,météo très défavorable,17:34:00,08:29:00,0
2022-01-20,6,1,18,4,5,4,0.8,96,8,1034,76.875,6,5,-2,176,122,368,0.1,1,5.2,météo très défavorable,17:35:00,08:28:00,6
2022-01-21,5,-1,22,0,4,3,0,93,10,1037,60.375,5,1,-5,119,116,122,0,2,6.9,météo très défavorable,17:37:00,08:27:00,0
2022-01-22,8,-1,13,-1,6,5,0,92,10,1038,10.125,8,3,-4,113,113,113,0,2,8.7,météo très défavorable,17:38:00,08:27:00,0
2022-01-23,6,0,18,0,5,3,0,97,8,1035,39.25,6,2,-4,143,116,113,0,2,5.2,météo très défavorable,17:39:00,08:26:00,1
