DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-01,3,0,9,0,3,2,0.1,93,10,1013,45.25,3,0,0,116,116,119,0.1,2,6.9,météo très défavorable,17:16:00,08:38:00,1
2021-01-02,3,-1,15,0,2,1,0,87,10,1015,57.625,3,0,-4,119,119,119,0,2,3.3,météo très défavorable,17:17:00,08:38:00,0
2021-01-03,3,-1,7,2,3,1,2.2,98,5.125,1015,94.375,3,1,-1,338,371,371,1.6,1,3.3,météo très défavorable,17:18:00,08:38:00,2
2021-01-04,1,-4,8,0,1,1,1.2,96,5.5,1014,100,1,0,-3,332,326,371,1,1,3.3,météo très défavorable,17:19:00,08:38:00,0
2021-01-05,2,-3,12,0,1,1,0.9,94,7.625,1016,98.25,2,0,-4,122,332,371,0.7,1,3.3,météo très défavorable,17:20:00,08:38:00,0
2021-01-06,1,-2,9,0,1,1,2.1,97,4.375,1019,99.875,1,0,-3,338,332,371,1.8,1,3.3,météo très défavorable,17:21:00,08:38:00,0
2021-01-07,3,-1,7,-1,2,2,0.9,97,7.125,1019,90.5,3,0,-1,338,119,122,0.6,1,3.3,météo très défavorable,17:22:00,08:37:00,0
2021-01-08,2,-2,4,-1,1,0,0.1,95,7.125,1020,68.625,2,0,-1,260,116,122,0.1,1,5.1,météo très défavorable,17:23:00,08:37:00,-2
2021-01-09,3,-2,26,-2,2,1,0,87,10,1021,41.5,3,0,-7,116,119,116,0,1,6.9,météo très défavorable,17:25:00,08:37:00,-2
2021-01-10,2,-2,24,-2,1,0,0,84,10,1023,22.625,2,0,-9,116,116,116,0,2,8.7,météo très défavorable,17:26:00,08:36:00,-2
2021-01-11,3,-3,10,-3,1,1,0,95,7,1026,19.25,3,0,-7,143,116,116,0,2,8.7,météo très défavorable,17:27:00,08:36:00,-3
2021-01-12,7,1,29,3,5,6,6.4,93,6.875,1025,97.625,8,7,-1,176,296,266,0,2,3.3,météo très défavorable,17:28:00,08:35:00,3
2021-01-13,9,5,26,9,9,8,5.6,94,7.25,1026,94,9,8,5,296,266,176,0,2,3.4,météo défavorable,17:30:00,08:35:00,9
2021-01-14,9,7,24,7,7,9,6.7,94,8.375,1026,84,9,8,3,176,116,296,0,2,5.1,météo défavorable,17:31:00,08:34:00,7
