DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-01,3,1,9,2,2,2,3.7,97,4.25,1014,93.75,3,2,0,338,338,371,3,1,3.1,météo très défavorable,16:57:00,08:42:00,2
2021-01-02,3,0,5,0,3,2,0,90,8.375,1015,41.5,3,1,-1,116,116,122,0,2,6.8,météo très défavorable,16:58:00,08:42:00,0
2021-01-03,3,0,15,0,3,2,0,95,7,1017,70.875,3,0,-1,143,116,119,0,2,6.8,météo très défavorable,16:59:00,08:42:00,1
2021-01-04,3,1,23,1,3,2,0.7,96,7.125,1016,100,3,1,-4,122,332,326,0.5,1,3.2,météo très défavorable,17:00:00,08:42:00,1
2021-01-05,2,2,20,2,2,2,1.1,96,6.125,1018,100,2,1,-3,332,332,122,0.9,1,3.2,météo très défavorable,17:01:00,08:41:00,2
2021-01-06,2,0,12,1,1,1,0.4,93,9.375,1018,92.625,2,1,-4,326,122,326,0.3,1,3.2,météo très défavorable,17:02:00,08:41:00,1
2021-01-07,3,0,15,1,2,2,3.6,97,5.75,1017,93.875,3,1,-2,326,338,335,3.1,1,3.2,météo très défavorable,17:03:00,08:41:00,1
2021-01-08,2,-1,9,-1,2,0,0.9,93,9,1020,57.5,2,0,-4,116,116,323,0.7,1,6.9,météo très défavorable,17:05:00,08:40:00,-1
2021-01-09,3,-3,17,0,2,1,0,95,6.625,1026,40.75,3,0,-5,143,116,116,0,2,8.7,météo très défavorable,17:06:00,08:40:00,1
2021-01-10,3,-1,9,-1,2,1,0,93,9,1027,20.75,3,0,-4,116,116,116,0,2,8.7,météo très défavorable,17:07:00,08:39:00,-1
2021-01-11,3,-1,15,-1,2,3,0,90,10,1025,65.625,3,2,-4,116,119,122,0,2,3.3,météo très défavorable,17:09:00,08:39:00,0
2021-01-12,8,2,28,7,8,7,16.1,95,4.875,1016,98.25,8,6,3,302,302,266,0,2,3.3,météo très défavorable,17:10:00,08:38:00,6
2021-01-13,4,1,8,1,3,4,9.9,98,9,1020,84.5,4,4,-1,122,122,302,0,2,3.3,météo très défavorable,17:11:00,08:38:00,1
2021-01-14,3,-3,25,3,2,1,29.1,96,6.25,1020,100,4,3,-3,266,302,302,0,1,3.3,météo très défavorable,17:13:00,08:37:00,3
2021-01-15,1,-6,20,-1,0,-2,1.9,89,7.5,1030,73.25,1,0,-6,332,122,116,0.3,1,5.1,météo très défavorable,17:14:00,08:36:00,1
2021-01-16,0,-8,19,-2,0,-3,6.1,88,8.875,1030,69.875,0,0,-5,116,122,317,0,1,3.3,météo très défavorable,17:16:00,08:35:00,-1
2021-01-17,3,-1,16,1,3,2,0.4,94,7,1026,70.5,3,2,-3,119,119,143,0,1,8.7,météo très défavorable,17:17:00,08:34:00,2
