DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2020-01-01,7,2,12,2,4,5,0,88,10,1033,8,7,3,-1,116,116,113,0,2,8,météo très défavorable,16:53:00,08:49:00,2
2020-01-02,7,3,17,4,6,7,0,94,7.375,1030,77.375,7,6,1,143,119,116,0,2,4.9,météo très défavorable,16:54:00,08:49:00,4
2020-01-03,10,5,24,10,10,6,4,90,7.75,1030,89.375,10,8,5,266,266,296,0,2,3,météo défavorable,16:55:00,08:49:00,9
2020-01-04,7,4,18,4,7,6,0,87,10,1035,37.25,7,3,1,116,116,116,0,3,8.1,météo très défavorable,16:56:00,08:49:00,4
2020-01-05,7,3,9,4,6,7,0,92,10,1036,54.375,7,4,1,116,119,122,0,3,4.9,météo très défavorable,16:58:00,08:49:00,4
2020-01-06,6,2,18,4,5,5,0,88,10,1032,33.25,6,3,-1,116,116,116,0,1,8.1,météo très défavorable,16:59:00,08:48:00,6
2020-01-07,8,2,12,6,8,7,0.1,92,10,1029,32.375,8,5,3,116,116,116,0,2,8.5,météo très défavorable,17:00:00,08:48:00,7
2020-01-08,12,8,17,11,12,12,0.3,96,9.375,1024,98.875,12,11,9,122,122,122,0,3,3.2,météo défavorable,17:01:00,08:48:00,10
2020-01-09,12,5,26,11,12,9,5.5,90,8.375,1021,99.875,12,10,9,122,266,296,0,3,3.2,météo défavorable,17:03:00,08:47:00,11
2020-01-10,9,2,25,8,7,6,2.9,85,6.75,1030,70.75,9,5,3,266,176,116,0,2,3.2,météo défavorable,17:04:00,08:47:00,8
2020-01-11,6,4,19,4,5,5,0,90,10,1032,41.75,6,3,0,116,116,116,0,2,6.9,météo très défavorable,17:05:00,08:46:00,4
2020-01-12,10,4,27,5,8,8,0.2,89,10,1026,64.875,10,7,1,116,122,353,0,3,3.2,météo très défavorable,17:07:00,08:45:00,4
2020-01-13,8,3,26,6,7,7,0.7,90,8,1022,74.125,8,6,2,116,116,266,0,3,5.1,météo très défavorable,17:08:00,08:45:00,6
2020-01-14,10,3,37,9,10,7,9,91,8.25,1005,96.5,10,8,6,296,296,176,0,3,3.2,météo défavorable,17:10:00,08:44:00,10
2020-01-15,10,7,36,9,9,8,4.4,83,9.75,1017,72.875,10,7,5,116,122,296,0,2,3.3,météo défavorable,17:11:00,08:43:00,10
2020-01-16,10,4,23,4,8,9,0,91,10,1024,30.75,10,6,1,116,116,116,0,3,6.9,météo très défavorable,17:13:00,08:42:00,5
2020-01-17,10,6,25,9,10,8,2.6,87,8.875,1020,81.75,10,8,6,119,266,353,0,3,3.3,météo défavorable,17:14:00,08:42:00,9
2020-01-18,6,3,17,4,6,5,0.3,86,10,1032,21.375,6,2,1,116,116,116,0,2,8.7,météo très défavorable,17:16:00,08:41:00,4
2020-01-19,7,3,20,3,7,5,1.2,82,9.875,1043,64.5,7,1,0,176,176,176,0,2,3.3,météo très défavorable,17:17:00,08:40:00,3
2020-01-20,7,3,8,3,6,5,0,91,10,1047,8.875,7,2,1,116,116,116,0,2,8.7,météo très défavorable,17:19:00,08:39:00,3
