DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-01-01,13,9,10,9,13,11,0,89,10,1026,29.75,13,8,7,113,113,113,0,4,6.9,météo correcte,17:10:00,08:42:00,9
2022-01-02,14,9,23,9,13,13,0,81,10,1024,82.25,14,10,8,119,119,119,0,3,5.1,météo défavorable,17:11:00,08:42:00,9
2022-01-03,13,10,18,11,12,13,0.2,90,10,1022,86,13,10,8,116,122,176,0,3,3.3,météo défavorable,17:12:00,08:42:00,12
2022-01-04,14,4,32,13,14,5,1.9,74,8.875,1015,89,14,9,10,266,119,176,0,3,5.1,météo défavorable,17:13:00,08:41:00,11
2022-01-05,7,1,18,3,5,4,0.3,83,10,1023,56.625,7,6,-2,176,116,116,0.1,1,8.7,météo très défavorable,17:15:00,08:41:00,3
2022-01-06,6,0,9,1,5,2,0,84,10,1025,53.875,6,0,0,122,113,116,0,2,6.9,météo très défavorable,17:16:00,08:41:00,0
2022-01-07,8,2,22,3,6,7,0.9,95,8,1025,89,8,4,-1,266,176,122,0,2,5.1,météo très défavorable,17:17:00,08:41:00,2
2022-01-08,9,5,32,6,8,9,2.4,96,7.875,1020,82.75,9,7,3,143,122,266,0,2,3.3,météo défavorable,17:18:00,08:40:00,5
2022-01-09,7,4,24,4,6,7,0.9,91,9.375,1017,80.375,7,5,0,122,119,176,0,2,3.3,météo très défavorable,17:19:00,08:40:00,4
2022-01-10,8,5,9,5,7,7,0.4,92,9.375,1024,86.125,8,5,3,122,122,122,0,2,3.3,météo très défavorable,17:21:00,08:40:00,5
2022-01-11,6,0,9,0,4,2,0,89,10,1036,25,6,0,-3,113,113,116,0,2,8.7,météo très défavorable,17:22:00,08:39:00,0
2022-01-12,7,0,15,0,4,5,0,90,10,1039,22.25,7,2,-3,116,116,113,0,2,6.9,météo très défavorable,17:23:00,08:39:00,0
2022-01-13,9,0,16,0,7,5,0,92,10,1039,11.25,9,3,-4,113,113,113,0,2,8.7,météo très défavorable,17:24:00,08:38:00,1
2022-01-14,8,0,10,0,5,6,0,81,10,1038,0.5,8,1,-3,113,113,113,0,2,8.7,météo très défavorable,17:26:00,08:37:00,1
2022-01-15,7,1,6,1,5,4,0,81,10,1031,39,7,0,-1,113,122,113,0,2,3.3,météo très défavorable,17:27:00,08:37:00,2
2022-01-16,5,0,7,0,4,3,0,91,10,1035,16.75,5,1,-3,113,119,113,0,2,6.9,météo très défavorable,17:29:00,08:36:00,0
2022-01-17,10,4,6,5,8,7,0,97,5.75,1038,64.625,10,6,4,143,116,119,0,2,6.9,météo très défavorable,17:30:00,08:35:00,4
