#### EXPORT DONNEES METEO POUR "SAINT-AMAND-MONTROND" (LAT/LON: 46.71667/2.51667)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-01-01,15,10,15,10,14,12,0,79,10,1022,32.375,15,10,8,113,122,116,0,4,6.9,météo correcte,17:12:00,08:34:00,11
2023-01-02,13,7,24,10,13,8,1.3,86,7.375,1030,95.125,13,10,9,122,266,353,0,3,3.3,météo défavorable,17:13:00,08:34:00,10
2023-01-03,11,4,10,5,9,8,0,96,6,1033,28.625,11,6,2,143,113,113,0,2,6.9,météo très défavorable,17:14:00,08:34:00,6
2023-01-04,10,4,21,4,9,10,0,87,10,1032,60.5,10,6,1,113,119,122,0,3,3.3,météo très défavorable,17:15:00,08:34:00,4
2023-01-05,11,10,19,10,11,11,1.1,97,8,1029,95.875,11,11,8,266,122,122,0,3,3.3,météo défavorable,17:16:00,08:34:00,10
2023-01-06,12,8,12,9,10,9,0,84,9,1027,52.375,12,8,8,119,116,116,0,3,8.7,météo défavorable,17:18:00,08:34:00,9
2023-01-07,12,6,27,6,11,10,0.2,88,10,1021,68.875,12,5,3,119,122,176,0,3,5.1,météo défavorable,17:19:00,08:34:00,7
2023-01-08,10,7,23,8,10,9,4.5,92,7.5,1012,94.375,10,8,5,266,176,296,0,2,3.3,météo défavorable,17:20:00,08:34:00,8
2023-01-09,7,5,26,5,7,7,1.2,88,9.25,1019,63.125,7,5,1,116,176,176,0,2,5.1,météo très défavorable,17:21:00,08:33:00,6
2023-01-10,10,4,25,5,7,10,3.4,96,9.75,1024,93.875,10,9,1,122,296,122,0,3,3.3,météo très défavorable,17:22:00,08:33:00,4
2023-01-11,10,8,26,10,10,8,1.3,94,8,1022,87.875,10,9,6,176,266,176,0,2,5.1,météo défavorable,17:23:00,08:32:00,10
2023-01-12,11,8,27,8,10,10,0.2,91,10,1024,100,11,8,5,176,122,122,0,2,3.3,météo défavorable,17:25:00,08:32:00,8
2023-01-13,11,6,28,10,11,8,2,92,7.875,1026,81.625,11,9,7,266,176,116,0,2,5.1,météo défavorable,17:26:00,08:31:00,10
2023-01-14,12,5,27,5,8,11,0,95,6.75,1027,88,12,7,2,143,119,119,0,2,3.4,météo très défavorable,17:27:00,08:31:00,5
