DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-01,4,1,9,1,3,2,0,88,10,1014,24.75,4,0,-1,116,116,116,0,2,8.7,météo très défavorable,17:18:00,08:45:00,1
2021-01-02,3,-1,12,-1,2,2,0,87,9.375,1016,27.125,3,0,-4,116,116,116,0,2,8.7,météo très défavorable,17:19:00,08:45:00,-1
2021-01-03,4,0,10,2,3,3,0.3,98,5.75,1015,94.75,4,2,0,143,326,371,0.1,1,3.3,météo très défavorable,17:20:00,08:44:00,2
2021-01-04,1,-6,13,0,1,-1,3.8,98,2.375,1014,99.375,2,1,-3,338,338,338,3.1,1,3.3,météo très défavorable,17:21:00,08:44:00,0
2021-01-05,1,-2,10,0,1,1,1.1,95,8.375,1017,94.875,1,1,-4,122,122,332,0.9,1,3.3,météo très défavorable,17:22:00,08:44:00,0
2021-01-06,2,-1,8,-1,1,2,0.5,95,7.125,1020,94,2,0,-4,143,332,326,0.3,1,3.3,météo très défavorable,17:23:00,08:44:00,-1
2021-01-07,3,0,9,0,2,3,0.2,94,9.625,1019,89.5,3,1,-2,368,116,122,0.2,1,3.3,météo très défavorable,17:24:00,08:44:00,1
2021-01-08,3,-1,4,-1,2,2,0.1,93,9.625,1020,56.875,3,0,-1,116,116,119,0,1,5.1,météo très défavorable,17:25:00,08:43:00,0
2021-01-09,3,-1,27,-1,2,1,0,88,10,1023,30.5,3,0,-6,116,116,116,0,2,6.9,météo très défavorable,17:26:00,08:43:00,-1
2021-01-10,3,-1,25,-1,2,1,0,82,10,1024,4.5,3,0,-7,113,116,116,0,2,8.7,météo très défavorable,17:28:00,08:43:00,-1
