#### EXPORT DONNEES METEO POUR "VENDOME" (LAT/LON: 47.8/1.06667)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2024-01-01,10,6,26,6,9,9,1,91,9.875,1015,84.625,10,7,3,176,176,176,0,3,1,météo défavorable,17:14:00,08:45:00,7
2024-01-02,11,9,46,9,10,9,5.5,88,6.5,1009,97.375,11,9,5,266,266,296,0,2,1,météo défavorable,17:15:00,08:45:00,9
2024-01-03,12,9,35,10,12,10,0.1,91,10,1011,83.375,12,8,6,176,176,119,0,3,5,météo défavorable,17:16:00,08:45:00,10
2024-01-04,12,7,29,7,10,10,0.5,95,9,1012,91.75,12,8,4,119,176,353,0,2,1,météo défavorable,17:17:00,08:44:00,8
2024-01-05,9,5,10,6,8,7,0,96,8,1008,64.625,9,7,3,143,116,119,0,3,3,météo très défavorable,17:18:00,08:44:00,6
2024-01-06,7,2,20,3,6,5,0.1,93,9,1019,62.375,7,3,-0,113,116,176,0,2,5,météo très défavorable,17:19:00,08:44:00,3
2024-01-07,5,2,21,3,3,3,0,85,10,1024,87.5,5,1,-3,113,176,176,0,1,1,météo très défavorable,17:20:00,08:44:00,4
2024-01-08,2,-3,22,-2,-0,-1,0,83,10,1027,42.375,2,0,-8,113,116,116,0,1,9,météo très défavorable,17:21:00,08:44:00,1
2024-01-09,1,-3,13,-2,-1,-2,0,87,10,1026,51.25,1,0,-7,119,122,116,0,2,3,météo très défavorable,17:22:00,08:43:00,-2
2024-01-10,2,-4,9,-3,0,-1,0,92,10,1025,37,2,0,-7,113,113,122,0,2,8,météo très défavorable,17:24:00,08:43:00,-3
2024-01-11,4,-2,21,1,3,-0,0,91,10,1031,50.5,4,0,-4,122,116,113,0,2,8,météo très défavorable,17:25:00,08:42:00,0
2024-01-12,5,-3,16,-3,2,1,0,67,10,1032,0.125,5,0,-8,113,113,113,0,2,9,météo très défavorable,17:26:00,08:42:00,-3
2024-01-13,5,-2,11,-2,3,0,0,90,10,1029,2.625,5,0,-6,113,113,113,0,2,9,météo très défavorable,17:28:00,08:41:00,-2
2024-01-14,5,-1,6,-1,4,3,0,78,10,1021,40.125,5,0,-3,116,113,122,0,2,9,météo très défavorable,17:29:00,08:41:00,-1
2024-01-15,5,-1,14,1,5,2,0.2,93,10,1016,44.5,5,0,-0,176,113,113,0,1,9,météo très défavorable,17:30:00,08:40:00,1
2024-01-16,4,-2,13,-1,2,2,0.1,92,10,1016,32,4,0,-5,116,113,116,0,2,9,météo très défavorable,17:32:00,08:39:00,-2
2024-01-17,14,4,36,11,14,12,6.4,94,9.375,1000,98.75,14,11,8,302,176,176,0,3,1,météo défavorable,17:33:00,08:39:00,7
2024-01-18,10,-1,27,3,3,1,4.9,92,8.125,1017,66,10,9,-4,266,116,113,0.6,1,5,météo très défavorable,17:34:00,08:38:00,8
2024-01-19,4,-1,15,-1,3,1,0,81,10,1027,0.75,4,0,-5,113,113,113,0,2,9,météo très défavorable,17:36:00,08:37:00,-1
2024-01-20,4,-2,12,-2,2,0,0,81,10,1030,8,4,0,-6,113,116,113,0,2,9,météo très défavorable,17:37:00,08:36:00,-2
2024-01-21,7,0,26,1,6,6,0,90,10,1028,74.5,7,6,-4,122,122,119,0,2,1,météo très défavorable,17:39:00,08:36:00,1
2024-01-22,11,6,36,8,10,9,2.6,94,7.875,1032,65.25,11,9,4,266,296,176,0,3,4,météo défavorable,17:40:00,08:35:00,7
2024-01-23,13,7,24,7,11,13,0,97,10,1033,76.875,13,12,4,119,176,122,0,2,3,météo défavorable,17:42:00,08:34:00,7
2024-01-24,14,10,24,12,13,13,0.2,93,9,1035,80.25,14,12,10,176,119,119,0,3,4,météo défavorable,17:43:00,08:33:00,13
2024-01-25,13,11,14,11,13,11,0.1,97,7.75,1034,84.375,13,10,10,248,119,119,0,3,4,météo défavorable,17:45:00,08:32:00,11
2024-01-26,11,5,24,11,10,7,1.4,93,8,1039,45.25,11,10,8,266,113,113,0,3,7,météo défavorable,17:46:00,08:31:00,9
2024-01-27,10,2,15,2,7,6,0,86,10,1037,13.125,10,3,-1,113,116,113,0,2,9,météo très défavorable,17:48:00,08:29:00,3
